id,date,duration,progress,class,campus,internet,first,today,spend,num_crse_reported_pay,num_crse_reported,num_crse_details_pay,num_crse_details,num_crse_pay,num_crse,spend_per_crse_pay,spend_per_crse,pct_crse_pay,campus_bryan,campus_dist,campus_ftw,campus_steph,campus_waco,electronics_desktop,electronics_laptop,electronics_smartphone,electronics_tablet,sources_campus_bookstore,sources_different_edition,sources_from_instructor,sources_online,sources_other,sources_sharing_/_borrowing,why_cost,why_course_changes,why_delayed_order,why_didn't_know_what_materials_are_required,why_didn't_think_i_would_need_them_on_the_first_day,why_other_(please_specify),why_waiting_for_scholarships/financial_aid
r_1ck96hyzqhijv3i,2024-01-28 22:13:59,467,100,2_so,steph,1_yes_internet,2_most_first,3_all_today,381,4,6,,6,4,6,95,64,67,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
r_1cptpmn2s25w22n,2024-01-26 21:44:42,195,100,4_sr,ftw,1_yes_internet,1_some_first,3_all_today,335,2,2,,2,2,2,168,168,100,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
r_1czulyfrlngrom9,2024-01-31 19:20:33,158,48,3_jr,steph,1_yes_internet,1_some_first,2_most_today,327,2,5,,1,2,5,164,65,40,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
r_1d067rufakqtgub,2024-01-31 09:25:28,152,59,4_sr,steph,1_yes_internet,0_none_first,2_most_today,255,5,5,,1,5,5,51,51,100,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True
r_1dgpcxjqiaz5b8u,2024-01-30 16:34:20,95,48,5_gr,steph,1_yes_internet,0_none_first,3_all_today,300,2,3,,,2,3,150,100,67,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False
r_1dnew02symfvvpv,2024-01-24 13:34:05,414,100,1_fr,steph,1_yes_internet,1_some_first,1_some_today,201,3,5,,5,3,5,67,40,60,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False
r_1do9kmptvgbfowu,2024-01-29 18:52:44,748,100,4_sr,steph,1_yes_internet,0_none_first,1_some_today,172,4,4,,4,4,4,43,43,100,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True
r_1drqejipnaafben,2024-01-24 15:31:17,152,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,209,1,4,,4,1,4,209,52,25,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False
r_1dujlcimvjlknpa,2024-01-24 11:43:17,693,100,5_gr,dist,1_yes_internet,0_none_first,3_all_today,204,2,2,,2,2,2,102,102,100,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
r_1dwanhjbujkezs7,2024-01-24 13:29:40,46,100,1_fr,dist,1_yes_internet,,,,0,2,,,0,2,,,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1e1tqrhcm6gl69z,2024-01-31 14:34:12,87,26,2_so,steph,0_no_internet,,,,2,3,,,2,3,,,67,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1e2phcd3bqzwvy5,2024-01-24 13:10:20,238,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,231,2,3,,3,2,3,116,77,67,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_1e4zm1f24cwpnhm,2024-01-30 20:43:02,15848,48,1_fr,steph,1_yes_internet,0_none_first,2_most_today,150,6,6,,1,6,6,25,25,100,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
r_1e6qlbfjs5etple,2024-01-25 21:24:51,230,100,3_jr,dist,1_yes_internet,1_some_first,3_all_today,201,4,4,,4,4,4,50,50,100,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
r_1eixjvyovupzvgl,2024-01-31 11:57:59,83,26,1_fr,steph,1_yes_internet,,,,3,8,,,3,8,,,38,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1es4mu5xytltwqn,2024-01-30 17:06:42,78,48,4_sr,dist,1_yes_internet,2_most_first,2_most_today,417,4,4,,,4,4,104,104,100,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False
r_1esqd4cmamtdbcl,2024-01-24 19:16:32,216,100,2_so,steph,1_yes_internet,0_none_first,1_some_today,201,4,6,,,4,6,50,34,67,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
r_1ezvnpkpuhdosrd,2024-01-26 15:09:51,165,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,35,1,4,,4,1,4,35,9,25,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False
r_1f3qi8iujyathh7,2024-02-01 22:07:55,278,48,2_so,steph,1_yes_internet,2_most_first,2_most_today,665,3,4,,,3,4,222,166,75,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
r_1f4wggqe8ve99aj,2024-01-31 08:00:13,91,26,1_fr,steph,1_yes_internet,,,,3,5,,,3,5,,,60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1f9fmdjv5f7ktoa,2024-01-25 11:33:15,333,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,464,6,6,,6,6,6,77,77,100,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,True
r_1fenk59zcyglypf,2024-01-24 20:28:07,534,100,3_jr,dist,1_yes_internet,2_most_first,3_all_today,244,3,3,,3,3,3,81,81,100,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
r_1ffir9ybqi9slcr,2024-01-26 12:47:47,72,100,0_hs,dist,1_yes_internet,,,,0,2,,,0,2,,,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1fg4dp8reufqqqh,2024-01-25 19:13:56,571,100,2_so,steph,1_yes_internet,1_some_first,3_all_today,178,6,7,,7,6,7,30,25,86,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False
r_1fkfkpdtg64znoa,2024-01-31 18:16:34,162,100,5_gr,dist,1_yes_internet,1_some_first,3_all_today,201,2,2,,2,2,2,100,100,100,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
r_1fpawbmhlbfo69h,2024-01-24 15:39:03,134,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,405,3,3,,3,3,3,135,135,100,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_1fyqluwtbglhb7x,2024-01-23 17:40:12,357,100,2_so,steph,1_yes_internet,3_all_first,3_all_today,102,1,5,,5,1,5,102,20,20,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
r_1fzwiwwrjbhvenu,2024-01-24 13:55:08,333,100,3_jr,dist,1_yes_internet,,,,0,1,,,0,1,,,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1g7vq2enjdtafyt,2024-02-01 22:11:32,259,100,4_sr,steph,1_yes_internet,3_all_first,3_all_today,327,2,4,,4,2,4,164,82,50,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_1gcdypzobyoqfne,2024-01-31 16:14:40,114,48,4_sr,dist,1_yes_internet,3_all_first,2_most_today,424,4,4,,1,4,4,106,106,100,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
r_1gckeri5yirj7ih,2024-01-28 00:10:41,172,100,3_jr,steph,1_yes_internet,1_some_first,2_most_today,310,3,4,,4,3,4,103,78,75,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
r_1gdpfeggethz581,2024-01-24 12:14:16,408,100,4_sr,dist,1_yes_internet,1_some_first,2_most_today,300,4,4,,4,4,4,75,75,100,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True
r_1gipd8byqkql70t,2024-01-30 19:43:26,100,48,1_fr,steph,1_yes_internet,0_none_first,1_some_today,214,3,4,,,3,4,71,54,75,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
r_1gp4n10erahg6gy,2024-01-24 10:50:42,449,100,1_fr,steph,1_yes_internet,0_none_first,0_none_today,300,3,3,,3,3,3,100,100,100,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False
r_1gpowp3nsovlary,2024-01-24 09:54:58,265,100,1_fr,steph,1_yes_internet,1_some_first,3_all_today,300,3,5,,5,3,5,100,60,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
r_1gtzvugjgncknok,2024-02-02 12:06:45,144015,48,4_sr,ftw,1_yes_internet,0_none_first,1_some_today,,4,4,,1,4,4,,,100,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
r_1gvotyio9myvohr,2024-01-24 12:20:35,147,100,2_so,steph,1_yes_internet,2_most_first,3_all_today,1000,5,5,,,5,5,200,200,100,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
r_1heejxabijhmoer,2024-01-25 12:53:19,239,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,402,6,6,,6,6,6,67,67,100,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
r_1hhsbk3vxqlecko,2024-01-29 19:11:01,130,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,110,1,1,,1,1,1,110,110,100,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_1hiwuvbqzet8lhr,2024-01-23 17:22:20,196,100,5_gr,dist,1_yes_internet,2_most_first,2_most_today,97,1,1,,,1,1,97,97,100,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
r_1hkpokejtrkvfwp,2024-01-30 16:37:07,106,48,3_jr,dist,1_yes_internet,2_most_first,3_all_today,601,7,6,,1,7,7,86,86,100,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False
r_1hm1elyt0kam2at,2024-01-24 15:54:28,381,100,1_fr,steph,1_yes_internet,1_some_first,3_all_today,300,5,5,,5,5,5,60,60,100,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False
r_1hswxs9vzcxkxzc,2024-01-30 11:06:12,85,100,2_so,steph,1_yes_internet,2_most_first,2_most_today,292,5,5,,,5,5,58,58,100,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False
r_1ht7ihrddtp5raq,2024-01-23 21:06:14,77,100,5_gr,steph,1_yes_internet,1_some_first,3_all_today,354,3,3,,,3,3,118,118,100,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False
r_1htt02dgefarhw1,2024-01-29 20:33:28,258,100,3_jr,steph,1_yes_internet,1_some_first,1_some_today,453,3,4,,4,3,4,151,113,75,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,False,False,True
r_1i4fjfvspfypsl3,2024-01-31 12:28:27,115,48,1_fr,steph,1_yes_internet,0_none_first,3_all_today,480,4,5,,,4,5,120,96,80,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
r_1ib4qkehumffais,2024-01-23 15:40:33,321,100,2_so,steph,1_yes_internet,0_none_first,3_all_today,601,4,7,,7,4,7,150,86,57,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True
r_1ifsaxk83bw76uz,2024-01-23 16:12:41,225,100,4_sr,steph,1_yes_internet,1_some_first,3_all_today,201,1,4,,4,1,4,201,50,25,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False
r_1ihaksr3aply6e9,2024-02-02 10:52:20,168,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,99,2,2,,2,2,2,50,50,100,False,False,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False
r_1ijr0crsvhr711f,2024-01-23 16:04:27,532,100,1_fr,steph,1_yes_internet,0_none_first,3_all_today,215,2,5,,5,2,5,108,43,40,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
r_1ikgy1vshwaiawj,2024-01-30 18:52:22,98,100,1_fr,steph,1_yes_internet,1_some_first,3_all_today,316,4,4,,,4,4,79,79,100,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
r_1ioxtga7dvsadfo,2024-01-23 18:02:57,299,100,1_fr,steph,0_no_internet,1_some_first,3_all_today,357,4,5,,5,4,5,89,71,80,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False
r_1iqkjmhglotlcol,2024-02-02 09:28:15,37,100,0_hs,dist,0_no_internet,,,,0,1,,,0,1,,,0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1irtmhadyrq16db,2024-01-24 10:57:55,574,100,4_sr,dist,1_yes_internet,2_most_first,3_all_today,501,4,4,,4,4,4,125,125,100,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False
r_1j1dlraku7gq7b0,2024-02-04 22:14:47,374728,48,4_sr,steph,1_yes_internet,1_some_first,1_some_today,201,3,5,,,3,5,67,40,60,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
r_1j4rmtppr0yov8c,2024-01-25 11:13:18,66,100,2_so,steph,1_yes_internet,,,,0,1,,,0,1,,,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1j9ufz5ugesudtl,2024-02-03 15:34:08,3307,48,2_so,steph,1_yes_internet,0_none_first,3_all_today,904,6,5,,1,6,6,151,151,100,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
r_1jdmi1jdatz8qgj,2024-01-24 09:34:28,154,100,4_sr,steph,1_yes_internet,1_some_first,3_all_today,252,4,5,,5,4,5,63,50,80,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False
r_1jef329cb5bnzi9,2024-01-24 09:57:10,250,100,1_fr,steph,1_yes_internet,1_some_first,3_all_today,200,4,5,,5,4,5,50,40,80,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False
r_1ji73ww5vabwput,2024-01-29 11:40:53,34,100,5_gr,waco,1_yes_internet,,,,0,1,,,0,1,,,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r_1jj7y4gxamqnu2n,2024-01-30 18:44:17,82,48,2_so,dist,1_yes_internet,2_most_first,3_all_today,318,3,3,,,3,3,106,106,100,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
r_1jkkjbywdajd2av,2024-02-02 12:06:39,519,100,3_jr,dist,1_yes_internet,0_none_first,2_most_today,450,4,4,,4,4,4,112,112,100,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False
r_1jkwj4gvtklxn77,2024-01-30 11:36:12,426,100,3_jr,steph,0_no_internet,1_some_first,3_all_today,107,1,5,,5,1,5,107,21,20,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False
r_1jmvj0aw3dqhwqs,2024-02-02 14:17:39,100,48,5_gr,dist,1_yes_internet,1_some_first,3_all_today,493,3,3,,1,3,3,164,164,100,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False
